date,close
2024-11-20 10:00:00+11:00,8373.2001953125
2024-11-20 10:01:00+11:00,8373.400390625
2024-11-20 10:02:00+11:00,8374.0
2024-11-20 10:03:00+11:00,8376.400390625
2024-11-20 10:04:00+11:00,8375.599609375
2024-11-20 10:05:00+11:00,8378.0
2024-11-20 10:06:00+11:00,8378.0
2024-11-20 10:07:00+11:00,8375.099609375
2024-11-20 10:08:00+11:00,8373.400390625
2024-11-20 10:09:00+11:00,8361.0
2024-11-20 10:10:00+11:00,8360.0
2024-11-20 10:11:00+11:00,8360.7001953125
2024-11-20 10:12:00+11:00,8362.400390625
2024-11-20 10:13:00+11:00,8361.900390625
2024-11-20 10:14:00+11:00,8362.400390625
2024-11-20 10:15:00+11:00,8361.0
2024-11-20 10:16:00+11:00,8359.0
2024-11-20 10:17:00+11:00,8360.7998046875
2024-11-20 10:18:00+11:00,8359.400390625
2024-11-20 10:19:00+11:00,8360.400390625
2024-11-20 10:20:00+11:00,8361.7998046875
2024-11-20 10:21:00+11:00,8359.900390625
2024-11-20 10:22:00+11:00,8358.900390625
2024-11-20 10:23:00+11:00,8358.0
2024-11-20 10:24:00+11:00,8358.7001953125
2024-11-20 10:25:00+11:00,8359.099609375
2024-11-20 10:26:00+11:00,8355.900390625
2024-11-20 10:27:00+11:00,8356.0
2024-11-20 10:28:00+11:00,8356.0
2024-11-20 10:29:00+11:00,8354.599609375
2024-11-20 10:30:00+11:00,8353.599609375
2024-11-20 10:31:00+11:00,8353.900390625
2024-11-20 10:32:00+11:00,8353.5
2024-11-20 10:33:00+11:00,8353.900390625
2024-11-20 10:34:00+11:00,8355.099609375
2024-11-20 10:35:00+11:00,8356.5
2024-11-20 10:36:00+11:00,8354.7998046875
2024-11-20 10:37:00+11:00,8352.599609375
2024-11-20 10:38:00+11:00,8353.7001953125
2024-11-20 10:39:00+11:00,8351.7001953125
2024-11-20 10:40:00+11:00,8350.5
2024-11-20 10:41:00+11:00,8352.599609375
2024-11-20 10:42:00+11:00,8352.2001953125
2024-11-20 10:43:00+11:00,8351.5
