date,close
21/11/2018 16:00:00,12.75
22/11/2018 16:00:00,12.75
23/11/2018 16:00:00,12.84
26/11/2018 16:00:00,13.11
27/11/2018 16:00:00,12.89
28/11/2018 16:00:00,12.7
29/11/2018 16:00:00,12.39
30/11/2018 16:00:00,11.71
03/12/2018 16:00:00,11.62
04/12/2018 16:00:00,11.49
05/12/2018 16:00:00,11.82
06/12/2018 16:00:00,12.1
07/12/2018 16:00:00,12.6
10/12/2018 16:00:00,12.49
11/12/2018 16:00:00,12.41
12/12/2018 16:00:00,12.23
13/12/2018 16:00:00,12.1
14/12/2018 16:00:00,11.72
17/12/2018 16:00:00,11.93
18/12/2018 16:00:00,11.72
19/12/2018 16:00:00,11.82
20/12/2018 16:00:00,12.05
21/12/2018 16:00:00,11.61
24/12/2018 14:10:00,11.7
27/12/2018 16:00:00,11.77
28/12/2018 16:00:00,12
31/12/2018 14:10:00,11.74
02/01/2019 16:00:00,11.71
03/01/2019 16:00:00,11.99
04/01/2019 16:00:00,11.81
07/01/2019 16:00:00,11.71
08/01/2019 16:00:00,11.72
09/01/2019 16:00:00,11.85
10/01/2019 16:00:00,11.66
11/01/2019 16:00:00,11.53
14/01/2019 16:00:00,11.89
15/01/2019 16:00:00,11.76
16/01/2019 16:00:00,11.88
17/01/2019 16:00:00,12.08
18/01/2019 16:00:00,12.32
21/01/2019 16:00:00,12.66
22/01/2019 16:00:00,12.74
23/01/2019 16:00:00,12.59
24/01/2019 16:00:00,12.45
25/01/2019 16:00:00,12.75
29/01/2019 16:00:00,12.59
30/01/2019 16:00:00,12.75
31/01/2019 16:00:00,12.51
01/02/2019 16:00:00,12.6
04/02/2019 16:00:00,12.59
05/02/2019 16:00:00,12.73
06/02/2019 16:00:00,12.41
07/02/2019 16:00:00,12.27
08/02/2019 16:00:00,12.39
11/02/2019 16:00:00,12.41
12/02/2019 16:00:00,12.26
13/02/2019 16:00:00,12.26
14/02/2019 16:00:00,12.5
15/02/2019 16:00:00,12.6
18/02/2019 16:00:00,12.59
19/02/2019 16:00:00,12.08
20/02/2019 16:00:00,11.37
21/02/2019 16:00:00,11.34
22/02/2019 16:00:00,11.53
25/02/2019 16:00:00,11.46
26/02/2019 16:00:00,11.55
27/02/2019 16:00:00,11.53
28/02/2019 16:00:00,11.33
01/03/2019 16:00:00,11.39
04/03/2019 16:00:00,11.4
05/03/2019 16:00:00,11.38
06/03/2019 16:00:00,11.38
07/03/2019 16:00:00,11.55
08/03/2019 16:00:00,11.42
11/03/2019 16:00:00,11.27
12/03/2019 16:00:00,11.22
13/03/2019 16:00:00,11.24
14/03/2019 16:00:00,11.26
15/03/2019 16:00:00,11.45
18/03/2019 16:00:00,11.43
19/03/2019 16:00:00,11.38
20/03/2019 16:00:00,11.66
21/03/2019 16:00:00,11.58
22/03/2019 16:00:00,11.68
25/03/2019 16:00:00,11.7
26/03/2019 16:00:00,11.96
27/03/2019 16:00:00,11.89
28/03/2019 16:00:00,11.83
29/03/2019 16:00:00,11.85
01/04/2019 16:00:00,12.02
02/04/2019 16:00:00,12.08
03/04/2019 16:00:00,12.2
04/04/2019 16:00:00,12.18
05/04/2019 16:00:00,12.12
08/04/2019 16:00:00,12.21
09/04/2019 16:00:00,12.24
10/04/2019 16:00:00,12.21
11/04/2019 16:00:00,12.1
12/04/2019 16:00:00,12.29
15/04/2019 16:00:00,12.42
16/04/2019 16:00:00,12.51
17/04/2019 16:00:00,12.4
18/04/2019 16:00:00,12.45
23/04/2019 16:00:00,12.45
24/04/2019 16:00:00,12.54
26/04/2019 16:00:00,12.6
29/04/2019 16:00:00,12.64
30/04/2019 16:00:00,12.61
01/05/2019 16:00:00,12.65
02/05/2019 16:00:00,12.6
03/05/2019 16:00:00,12.66
06/05/2019 16:00:00,12.64
07/05/2019 16:00:00,12.81
08/05/2019 16:00:00,12.74
09/05/2019 16:00:00,12.71
10/05/2019 16:00:00,12.7
13/05/2019 16:00:00,12.77
14/05/2019 16:00:00,12.65
15/05/2019 16:00:00,12.63
16/05/2019 16:00:00,12.57
17/05/2019 16:00:00,12.93
20/05/2019 16:00:00,12.92
21/05/2019 16:00:00,13.04
22/05/2019 16:00:00,12.93
23/05/2019 16:00:00,12.87
24/05/2019 16:00:00,12.43
27/05/2019 16:00:00,12.5
28/05/2019 16:00:00,12.57
29/05/2019 16:00:00,12.58
30/05/2019 16:00:00,12.53
31/05/2019 16:00:00,12.45
03/06/2019 16:00:00,12.54
04/06/2019 16:00:00,12.65
05/06/2019 16:00:00,12.74
06/06/2019 16:00:00,12.65
07/06/2019 16:00:00,12.94
11/06/2019 16:00:00,12.99
12/06/2019 16:00:00,13.21
13/06/2019 16:00:00,13.17
14/06/2019 16:00:00,13.01
17/06/2019 16:00:00,12.77
18/06/2019 16:00:00,13.21
19/06/2019 16:00:00,13.78
20/06/2019 16:00:00,13.83
21/06/2019 16:00:00,13.42
24/06/2019 16:00:00,13.11
25/06/2019 16:00:00,13.06
26/06/2019 16:00:00,13.22
27/06/2019 16:00:00,13.33
28/06/2019 16:00:00,13.35
01/07/2019 16:00:00,13.23
02/07/2019 16:00:00,13.37
03/07/2019 16:00:00,13.65
04/07/2019 16:00:00,13.65
05/07/2019 16:00:00,13.75
08/07/2019 16:00:00,13.65
09/07/2019 16:00:00,13.92
10/07/2019 16:00:00,14.03
11/07/2019 16:00:00,13.89
12/07/2019 16:00:00,13.97
15/07/2019 16:00:00,13.84
16/07/2019 16:00:00,13.86
17/07/2019 16:00:00,14.01
18/07/2019 16:00:00,13.96
19/07/2019 16:00:00,13.93
22/07/2019 16:00:00,13.72
23/07/2019 16:00:00,13.83
24/07/2019 16:00:00,13.98
25/07/2019 16:00:00,14.19
26/07/2019 16:00:00,14.17
29/07/2019 16:00:00,14.23
30/07/2019 16:00:00,14.31
31/07/2019 16:00:00,14.2
01/08/2019 16:00:00,14.05
02/08/2019 16:00:00,14.02
05/08/2019 16:00:00,13.83
06/08/2019 16:00:00,13.54
07/08/2019 16:00:00,13.72
08/08/2019 16:00:00,13.61
09/08/2019 16:00:00,13.52
12/08/2019 16:00:00,13.57
13/08/2019 16:00:00,13.5
14/08/2019 16:00:00,13.55
15/08/2019 16:00:00,13.15
16/08/2019 16:00:00,13.14
19/08/2019 16:00:00,13.2
20/08/2019 16:00:00,13.23
21/08/2019 16:00:00,13.24
22/08/2019 16:00:00,13.52
23/08/2019 16:00:00,13.84
26/08/2019 16:00:00,13.66
27/08/2019 16:00:00,13.56
28/08/2019 16:00:00,13.42
29/08/2019 16:00:00,13.62
30/08/2019 16:00:00,13.84
02/09/2019 16:00:00,13.89
03/09/2019 16:00:00,14.15
04/09/2019 16:00:00,14.22
05/09/2019 16:00:00,14.66
06/09/2019 16:00:00,14.69
09/09/2019 16:00:00,14.71
10/09/2019 16:00:00,14.77
11/09/2019 16:00:00,14.9
12/09/2019 16:00:00,14.85
13/09/2019 16:00:00,14.67
16/09/2019 16:00:00,14.75
17/09/2019 16:00:00,14.78
18/09/2019 16:00:00,14.67
19/09/2019 16:00:00,14.97
20/09/2019 16:00:00,14.78
23/09/2019 16:00:00,15
24/09/2019 16:00:00,15.37
25/09/2019 16:00:00,15.12
26/09/2019 16:00:00,15.15
27/09/2019 16:00:00,15.27
30/09/2019 16:00:00,15.4
01/10/2019 16:00:00,15.57
02/10/2019 16:00:00,15.24
03/10/2019 16:00:00,14.94
04/10/2019 16:00:00,14.9
07/10/2019 16:00:00,15.06
08/10/2019 16:00:00,15.28
09/10/2019 16:00:00,15.09
10/10/2019 16:00:00,15.2
11/10/2019 16:00:00,15.37
14/10/2019 16:00:00,15.19
15/10/2019 16:00:00,15.26
16/10/2019 16:00:00,15.4
17/10/2019 16:00:00,15.25
18/10/2019 16:00:00,15
21/10/2019 16:00:00,14.95
22/10/2019 16:00:00,14.94
23/10/2019 16:00:00,14.97
24/10/2019 16:00:00,14.95
25/10/2019 16:00:00,14.96
28/10/2019 16:00:00,14.56
29/10/2019 16:00:00,15.01
30/10/2019 16:00:00,14.84
31/10/2019 16:00:00,14.99
01/11/2019 16:00:00,15.02
04/11/2019 16:00:00,14.99
05/11/2019 16:00:00,14.99
06/11/2019 16:00:00,14.94
07/11/2019 16:00:00,15.28
08/11/2019 16:00:00,15.25
11/11/2019 16:00:00,15.44
12/11/2019 16:00:00,15.53
13/11/2019 16:00:00,15.16
14/11/2019 16:00:00,15.44
15/11/2019 16:00:00,15.65
18/11/2019 16:00:00,15.67
19/11/2019 16:00:00,15.72
20/11/2019 16:00:00,15.68
21/11/2019 16:00:00,15.71
22/11/2019 16:00:00,15.63
25/11/2019 16:00:00,15.68
26/11/2019 16:00:00,16.17
27/11/2019 16:00:00,16.34
28/11/2019 16:00:00,16.24
29/11/2019 16:00:00,16.26
02/12/2019 16:00:00,16.35
03/12/2019 16:00:00,15.67
04/12/2019 16:00:00,15.22
05/12/2019 16:00:00,15.35
06/12/2019 16:00:00,15.26
09/12/2019 16:00:00,15.3
10/12/2019 16:00:00,15.19
11/12/2019 16:00:00,15.3
12/12/2019 16:00:00,15.19
13/12/2019 16:00:00,15.09
16/12/2019 16:00:00,15.23
17/12/2019 16:00:00,15.32
18/12/2019 16:00:00,15.31
19/12/2019 16:00:00,15.37
20/12/2019 16:00:00,15.36
23/12/2019 16:00:00,15.43
24/12/2019 14:10:00,15.25
27/12/2019 16:00:00,15.33
30/12/2019 16:00:00,15.34
31/12/2019 14:10:00,14.84
02/01/2020 16:00:00,15.02
03/01/2020 16:00:00,15.03
06/01/2020 16:00:00,14.98
07/01/2020 16:00:00,15.2
08/01/2020 16:00:00,15.2
09/01/2020 16:00:00,15.22
10/01/2020 16:00:00,15.66
13/01/2020 16:00:00,15.47
14/01/2020 16:00:00,15.69
15/01/2020 16:00:00,15.63
16/01/2020 16:00:00,15.87
17/01/2020 16:00:00,15.92
20/01/2020 16:00:00,15.93
21/01/2020 16:00:00,16.13
22/01/2020 16:00:00,16.62
23/01/2020 16:00:00,16.3
24/01/2020 16:00:00,16.3
28/01/2020 16:00:00,16.31
29/01/2020 16:00:00,16.33
30/01/2020 16:00:00,16.36
31/01/2020 16:00:00,16.55
03/02/2020 16:00:00,16.5
04/02/2020 16:00:00,16.81
05/02/2020 16:00:00,16.65
06/02/2020 16:00:00,16.63
07/02/2020 16:00:00,16.9
