date,close
04/01/2005 16:00:00,12.55
05/01/2005 16:00:00,12.5
06/01/2005 16:00:00,12.39
07/01/2005 16:00:00,12.35
10/01/2005 16:00:00,12.39
11/01/2005 16:00:00,12.46
12/01/2005 16:00:00,12.33
13/01/2005 16:00:00,12.29
14/01/2005 16:00:00,12.37
17/01/2005 16:00:00,12.25
18/01/2005 16:00:00,12.3
19/01/2005 16:00:00,12.08
20/01/2005 16:00:00,12.1
21/01/2005 16:00:00,12.2
24/01/2005 16:00:00,12.01
25/01/2005 16:00:00,12.13
27/01/2005 16:00:00,12.41
28/01/2005 16:00:00,12.35
31/01/2005 16:00:00,12.24
01/02/2005 16:00:00,12.29
02/02/2005 16:00:00,12.18
03/02/2005 16:00:00,12.25
04/02/2005 16:00:00,12.21
07/02/2005 16:00:00,12.6
08/02/2005 16:00:00,12.71
09/02/2005 16:00:00,12.64
10/02/2005 16:00:00,12.55
11/02/2005 16:00:00,12.51
14/02/2005 16:00:00,12.39
15/02/2005 16:00:00,12.29
16/02/2005 16:00:00,12.36
17/02/2005 16:00:00,12.42
18/02/2005 16:00:00,12.48
21/02/2005 16:00:00,12.65
22/02/2005 16:00:00,12.44
23/02/2005 16:00:00,12.34
24/02/2005 16:00:00,12.38
25/02/2005 16:00:00,12.6
28/02/2005 16:00:00,13.06
01/03/2005 16:00:00,13.39
02/03/2005 16:00:00,13.36
03/03/2005 16:00:00,13.27
04/03/2005 16:00:00,13.26
07/03/2005 16:00:00,13.26
08/03/2005 16:00:00,13.54
09/03/2005 16:00:00,13.56
10/03/2005 16:00:00,13.42
11/03/2005 16:00:00,13.41
14/03/2005 16:00:00,13.59
15/03/2005 16:00:00,13.59
16/03/2005 16:00:00,13.76
17/03/2005 16:00:00,13.8
18/03/2005 16:00:00,13.85
21/03/2005 16:00:00,14.01
22/03/2005 16:00:00,13.8
23/03/2005 16:00:00,13.75
24/03/2005 16:00:00,13.55
29/03/2005 16:00:00,13.48
30/03/2005 16:00:00,13.61
31/03/2005 16:00:00,13.47
01/04/2005 16:00:00,13.34
04/04/2005 16:00:00,13.34
05/04/2005 16:00:00,13.54
06/04/2005 16:00:00,13.7
07/04/2005 16:00:00,13.48
08/04/2005 16:00:00,13.61
11/04/2005 16:00:00,13.42
12/04/2005 16:00:00,13.43
13/04/2005 16:00:00,13.34
14/04/2005 16:00:00,13.28
15/04/2005 16:00:00,13.07
18/04/2005 16:00:00,12.77
19/04/2005 16:00:00,12.89
20/04/2005 16:00:00,12.8
21/04/2005 16:00:00,12.78
22/04/2005 16:00:00,12.86
26/04/2005 16:00:00,12.83
27/04/2005 16:00:00,12.92
28/04/2005 16:00:00,12.92
29/04/2005 16:00:00,12.83
02/05/2005 16:00:00,13
03/05/2005 16:00:00,12.96
04/05/2005 16:00:00,12.72
05/05/2005 16:00:00,12.6
06/05/2005 16:00:00,12.72
09/05/2005 16:00:00,12.7
10/05/2005 16:00:00,12.75
11/05/2005 16:00:00,12.83
12/05/2005 16:00:00,12.87
13/05/2005 16:00:00,12.72
16/05/2005 16:00:00,12.67
17/05/2005 16:00:00,12.55
18/05/2005 16:00:00,12.61
19/05/2005 16:00:00,12.92
20/05/2005 16:00:00,12.86
23/05/2005 16:00:00,13.11
25/05/2005 16:00:00,13.07
26/05/2005 16:00:00,13.44
27/05/2005 16:00:00,13.54
30/05/2005 16:00:00,13.62
31/05/2005 16:00:00,13.48
01/06/2005 16:00:00,13.72
02/06/2005 16:00:00,13.81
03/06/2005 16:00:00,13.81
06/06/2005 16:00:00,13.69
07/06/2005 16:00:00,13.69
08/06/2005 16:00:00,13.72
09/06/2005 16:00:00,13.7
10/06/2005 16:00:00,13.73
14/06/2005 16:00:00,13.64
15/06/2005 16:00:00,13.63
16/06/2005 16:00:00,13.76
17/06/2005 16:00:00,13.83
20/06/2005 16:00:00,14.01
21/06/2005 16:00:00,13.95
22/06/2005 16:00:00,13.9
23/06/2005 16:00:00,13.86
24/06/2005 16:00:00,13.83
27/06/2005 16:00:00,13.71
28/06/2005 16:00:00,13.84
29/06/2005 16:00:00,13.78
30/06/2005 16:00:00,13.85
01/07/2005 16:00:00,13.75
04/07/2005 16:00:00,13.74
05/07/2005 16:00:00,13.64
06/07/2005 16:00:00,13.48
07/07/2005 16:00:00,13.31
08/07/2005 16:00:00,13.39
11/07/2005 16:00:00,13.42
12/07/2005 16:00:00,13.47
